"Date","GSPC","N225","FTSE","FCHI","GDAXI","SSE","BSE","HSI","TWII","MOEX"
2020-06-29,3053.23999023438,21995.0390625,6225.7998046875,4945.4599609375,12232.1201171875,2961.51611328125,34961.51953125,24301.279296875,11542.6201171875,2767.94995117188
2020-06-30,3100.2900390625,22288.140625,6169.7001953125,4935.990234375,12310.9296875,2984.67407226562,34915.80078125,24427.189453125,11621.240234375,2743.19995117188
2020-07-01,3115.86010742188,22121.73046875,6158,4926.93994140625,12260.5703125,3025.98095703125,35414.44921875,24775.689453125,11703.419921875,2765.99499511719
2020-07-02,3130.01000976562,22145.9609375,6240.39990234375,5049.3798828125,12608.4599609375,3090.56909179688,35843.69921875,25124.189453125,11805.1396484375,2788.7900390625
2020-07-03,3154.86499023438,22306.48046875,6157.2998046875,5007.14013671875,12528.1796875,3152.81298828125,36021.421875,25373.119140625,11909.16015625,2801.65991210938
2020-07-06,3179.71997070312,22714.439453125,6285.89990234375,5081.509765625,12733.4501953125,3332.88110351562,36487.28125,26339.16015625,12116.7001953125,2835.17993164062
2020-07-07,3145.32006835938,22614.689453125,6189.89990234375,5043.72998046875,12616.7998046875,3345.3369140625,36674.51953125,25975.66015625,12092.9697265625,2825.2099609375
2020-07-08,3169.93994140625,22438.650390625,6156.2001953125,4981.1298828125,12494.8095703125,3403.43994140625,36329.01171875,26129.1796875,12170.1904296875,2815.830078125
2020-07-09,3152.05004882812,22529.2890625,6049.60009765625,4921.009765625,12489.4599609375,3450.59399414062,36737.69140625,26210.16015625,12192.6904296875,2782.42993164062
2020-07-10,3185.0400390625,22290.810546875,6095.39990234375,4970.47998046875,12633.7099609375,3383.32202148438,36594.328125,25727.41015625,12073.6796875,2800.93994140625
2020-07-13,3155.21997070312,22784.740234375,6176.2001953125,5056.22998046875,12799.9697265625,3443.28588867188,36693.69140625,25772.119140625,12211.5595703125,2766.7900390625
2020-07-14,3197.52001953125,22587.009765625,6179.7998046875,5007.4599609375,12697.3603515625,3414.61889648438,36033.05859375,25477.890625,12209.009765625,2744.5400390625
2020-07-15,3226.56005859375,22945.5,6292.7001953125,5108.97998046875,12930.98046875,3361.30395507812,36051.80859375,25481.580078125,12202.849609375,2747.90991210938
2020-07-16,3215.57006835938,22770.359375,6250.7001953125,5085.27978515625,12874.9697265625,3210.09912109375,36471.6796875,24970.689453125,12157.740234375,2760.01000976562
2020-07-17,3224.72998046875,22696.419921875,6290.2998046875,5069.419921875,12919.6103515625,3214.12890625,37020.140625,25089.169921875,12181.5595703125,2774.7900390625
2020-07-20,3251.84008789062,22717.48046875,6261.5,5093.18017578125,13046.919921875,3314.14892578125,37418.98828125,25057.990234375,12174.5400390625,2802.23999023438
2020-07-21,3257.30004882812,22884.220703125,6269.7001953125,5104.27978515625,13171.830078125,3320.89501953125,37930.328125,25635.66015625,12397.5498046875,2825.7099609375
2020-07-22,3276.02001953125,22751.609375,6207.10009765625,5037.1201171875,13104.25,3333.1640625,37871.51953125,25057.939453125,12473.26953125,2834.64990234375
